architecture,metric,mean,sample_sd,minimum,median,maximum,n_seeds
resnet1d,roc_auc,0.921921096265927,0.00091258411451405669,0.92091626380020197,0.92214866062426015,0.92269836437331865,3
resnet1d,average_precision,0.81024845677026802,0.0033266954334989049,0.80665025116153832,0.81088283222231328,0.81321228692695269,3
resnet1d,brier_score,0.085040220626592986,0.00071818517870572425,0.084252285004767863,0.085210228524112808,0.085658148350898258,3
resnet1d,ece,0.022744315312718155,0.0029837439810977773,0.020330043770767817,0.02182279004068207,0.02608011212670458,3
ecg_transformer,roc_auc,0.89741979910996905,0.0032704339224464353,0.89468474901109418,0.89653224904789197,0.90104239927092089,3
ecg_transformer,average_precision,0.76527024385026887,0.0077388611859622028,0.75994817235049439,0.76171463752673252,0.77414792167357949,3
ecg_transformer,brier_score,0.09680724667176395,0.0019681941860586008,0.094657977395606857,0.097242139535405198,0.098521623084279836,3
ecg_transformer,ece,0.025645712953936865,0.0011625153319248559,0.024348496850442474,0.02599538174331379,0.026593260268054329,3
