architecture,selected_prefix_count,mean_coverage,mean_hamming_risk,mean_exact_match_error,mean_brier_score,mean_log_loss
ecg_transformer,1,0.00046339202965708991,0,0,0.00027507801626839066,0.016121356803108552
ecg_transformer,2,0.00092678405931417981,0,0,0.0002855565727319849,0.016357206130009443
ecg_transformer,3,0.0013901760889712697,0,0,0.000294587182202675,0.016486505819428895
ecg_transformer,4,0.0018535681186283596,0,0,0.00029907470504683849,0.016569429321032419
ecg_transformer,5,0.0023169601482854493,0,0,0.00030080996254040884,0.016621380263147273
ecg_transformer,6,0.0027803521779425394,0,0,0.00030128208355294429,0.016657485017708525
ecg_transformer,7,0.0032437442075996296,0.0095238095238095247,0.047619047619047616,0.009368681064899834,0.051965914860789601
ecg_transformer,8,0.0037071362372567192,0.0083333333333333332,0.041666666666666664,0.0082404267509943018,0.047618669395564611
ecg_transformer,9,0.0041705282669138094,0.0074074074074074077,0.037037037037037035,0.0073623203891206588,0.044242121900614211
ecg_transformer,10,0.0046339202965708986,0.0066666666666666671,0.033333333333333333,0.0066601792664957825,0.041549485313207297
ecg_transformer,11,0.0050973123262279887,0.0060606060606060615,0.030303030303030304,0.006087922502311844,0.039360236354760492
ecg_transformer,12,0.0055607043558850789,0.016666666666666666,0.055555555555555552,0.016275420508502548,0.080783152784133283
ecg_transformer,13,0.0060240963855421699,0.015384615384615385,0.051282051282051287,0.015051257105153398,0.075920958298366828
ecg_transformer,14,0.0064874884151992591,0.014285714285714285,0.047619047619047616,0.013999425715672554,0.071743250246966872
ecg_transformer,15,0.0069508804448563484,0.013333333333333334,0.044444444444444446,0.013090568308173846,0.068141922021465406
ecg_transformer,16,0.0074142724745134385,0.012500000000000002,0.041666666666666664,0.012293414131689341,0.064981709904047127
ecg_transformer,17,0.0078776645041705277,0.011764705882352941,0.039215686274509803,0.011590279527476712,0.062196116368441627
ecg_transformer,18,0.0083410565338276187,0.011111111111111112,0.037037037037037035,0.010965806776905299,0.059724251366283475
ecg_transformer,19,0.008804448563484708,0.017543859649122806,0.052631578947368418,0.01723176089271606,0.087914270789773707
ecg_transformer,20,0.0092678405931417972,0.016666666666666666,0.05000000000000001,0.016387780713373989,0.084404818892611047
ecg_transformer,21,0.0097312326227988882,0.015873015873015876,0.047619047619047616,0.015624462093360145,0.081232837316843054
ecg_transformer,22,0.010194624652455977,0.015151515151515154,0.045454545454545449,0.014929779217962173,0.078344045316407651
ecg_transformer,23,0.010658016682113068,0.014492753623188406,0.043478260869565216,0.014296714479213676,0.075713426943237017
ecg_transformer,24,0.011121408711770158,0.013888888888888888,0.041666666666666664,0.013716462781280197,0.07330543543984662
ecg_transformer,25,0.011584800741427247,0.013333333333333334,0.040000000000000001,0.013183596571994865,0.071095208341662192
ecg_transformer,26,0.01204819277108434,0.012820512820512822,0.038461538461538464,0.012690352981580798,0.069047597311701001
ecg_transformer,27,0.012511584800741429,0.012345679012345678,0.037037037037037035,0.012234412881249634,0.067157591104403544
ecg_transformer,28,0.012974976830398518,0.011904761904761906,0.035714285714285712,0.011810654226073053,0.065401115489375758
ecg_transformer,29,0.013438368860055607,0.01149425287356322,0.034482758620689655,0.011417121727396956,0.063772027350740002
ecg_transformer,30,0.013901760889712697,0.011111111111111112,0.033333333333333333,0.011048565672250122,0.062245360646286059
ecg_transformer,31,0.014365152919369786,0.01075268817204301,0.032258064516129031,0.010704147679435049,0.060821205316049148
ecg_transformer,32,0.014828544949026877,0.014583333333333335,0.041666666666666664,0.014384190788536434,0.076601293711559784
ecg_transformer,33,0.015291936978683966,0.014141414141414142,0.040404040404040407,0.013959711478238428,0.074830117874482169
ecg_transformer,34,0.015755329008341055,0.013725490196078433,0.039215686274509803,0.01356103539050367,0.073168289697561298
ecg_transformer,35,0.016218721037998145,0.013333333333333334,0.038095238095238092,0.013184948032612316,0.071601653262667805
ecg_transformer,36,0.016682113067655237,0.012962962962962966,0.037037037037037035,0.012830144077205447,0.07012325830643025
ecg_transformer,37,0.017145505097312327,0.012612612612612614,0.036036036036036036,0.01249325700885298,0.068718694428153052
ecg_transformer,38,0.017608897126969416,0.012280701754385968,0.035087719298245612,0.012174658416293699,0.067392811682993839
