member_id,architecture,seed,n_samples,macro_roc_auc,macro_average_precision,macro_brier_score,macro_ece
resnet1d-seed2026,resnet1d,2026,2158,0.92269836437331865,0.81321228692695269,0.084252285004767863,0.02182279004068207
resnet1d-seed2027,resnet1d,2027,2158,0.92091626380020197,0.80665025116153832,0.085658148350898258,0.02608011212670458
resnet1d-seed2028,resnet1d,2028,2158,0.92214866062426015,0.81088283222231328,0.085210228524112808,0.020330043770767817
ecg_transformer-seed2026,ecg_transformer,2026,2158,0.89468474901109418,0.76171463752673252,0.098521623084279836,0.026593260268054329
ecg_transformer-seed2027,ecg_transformer,2027,2158,0.89653224904789197,0.75994817235049439,0.097242139535405198,0.02599538174331379
ecg_transformer-seed2028,ecg_transformer,2028,2158,0.90104239927092089,0.77414792167357949,0.094657977395606857,0.024348496850442474
