member_id,architecture,seed,target_global_coverage,achieved_global_coverage,attribute,group,count,selected_count,subgroup_coverage
resnet1d-seed2027,resnet1d,2027,0.69999999999999996,0.71408711770157551,sex,female,1048,714,0.68129770992366412
resnet1d-seed2027,resnet1d,2027,0.69999999999999996,0.71408711770157551,sex,male,1110,827,0.7450450450450451
resnet1d-seed2027,resnet1d,2027,0.5,0.49953660797034288,age_band,40-59,639,383,0.59937402190923317
resnet1d-seed2027,resnet1d,2027,0.5,0.49953660797034288,age_band,60-79,914,374,0.40919037199124725
resnet1d-seed2027,resnet1d,2027,0.5,0.49953660797034288,age_band,80+,321,91,0.2834890965732087
resnet1d-seed2027,resnet1d,2027,0.5,0.49953660797034288,age_band,<40,284,230,0.8098591549295775
resnet1d-seed2027,resnet1d,2027,0.5,0.49953660797034288,sex,female,1048,488,0.46564885496183206
resnet1d-seed2027,resnet1d,2027,0.5,0.49953660797034288,sex,male,1110,590,0.53153153153153154
resnet1d-seed2028,resnet1d,2028,1,1,age_band,40-59,639,639,1
resnet1d-seed2028,resnet1d,2028,1,1,age_band,60-79,914,914,1
resnet1d-seed2028,resnet1d,2028,1,1,age_band,80+,321,321,1
resnet1d-seed2028,resnet1d,2028,1,1,age_band,<40,284,284,1
resnet1d-seed2028,resnet1d,2028,1,1,sex,female,1048,1048,1
resnet1d-seed2028,resnet1d,2028,1,1,sex,male,1110,1110,1
resnet1d-seed2028,resnet1d,2028,0.90000000000000002,0.89202965708989801,age_band,40-59,639,592,0.92644757433489833
resnet1d-seed2028,resnet1d,2028,0.90000000000000002,0.89202965708989801,age_band,60-79,914,806,0.88183807439824946
resnet1d-seed2028,resnet1d,2028,0.90000000000000002,0.89202965708989801,age_band,80+,321,254,0.79127725856697817
resnet1d-seed2028,resnet1d,2028,0.90000000000000002,0.89202965708989801,age_band,<40,284,273,0.96126760563380287
resnet1d-seed2028,resnet1d,2028,0.90000000000000002,0.89202965708989801,sex,female,1048,924,0.88167938931297707
resnet1d-seed2028,resnet1d,2028,0.90000000000000002,0.89202965708989801,sex,male,1110,1001,0.90180180180180181
resnet1d-seed2028,resnet1d,2028,0.80000000000000004,0.80815569972196477,age_band,40-59,639,556,0.87010954616588421
resnet1d-seed2028,resnet1d,2028,0.80000000000000004,0.80815569972196477,age_band,60-79,914,720,0.78774617067833697
resnet1d-seed2028,resnet1d,2028,0.80000000000000004,0.80815569972196477,age_band,80+,321,204,0.63551401869158874
resnet1d-seed2028,resnet1d,2028,0.80000000000000004,0.80815569972196477,age_band,<40,284,264,0.92957746478873238
resnet1d-seed2028,resnet1d,2028,0.80000000000000004,0.80815569972196477,sex,female,1048,834,0.79580152671755722
resnet1d-seed2028,resnet1d,2028,0.80000000000000004,0.80815569972196477,sex,male,1110,910,0.81981981981981977
resnet1d-seed2028,resnet1d,2028,0.69999999999999996,0.70296570898980537,age_band,40-59,639,503,0.78716744913928016
resnet1d-seed2028,resnet1d,2028,0.69999999999999996,0.70296570898980537,age_band,60-79,914,598,0.65426695842450766
resnet1d-seed2028,resnet1d,2028,0.69999999999999996,0.70296570898980537,age_band,80+,321,163,0.50778816199376942
resnet1d-seed2028,resnet1d,2028,0.69999999999999996,0.70296570898980537,age_band,<40,284,253,0.89084507042253525
resnet1d-seed2028,resnet1d,2028,0.69999999999999996,0.70296570898980537,sex,female,1048,708,0.67557251908396942
resnet1d-seed2028,resnet1d,2028,0.69999999999999996,0.70296570898980537,sex,male,1110,809,0.72882882882882882
resnet1d-seed2028,resnet1d,2028,0.5,0.51112140871177014,age_band,40-59,639,392,0.61345852895148667
resnet1d-seed2028,resnet1d,2028,0.5,0.51112140871177014,age_band,60-79,914,393,0.4299781181619256
resnet1d-seed2028,resnet1d,2028,0.5,0.51112140871177014,age_band,80+,321,93,0.28971962616822428
resnet1d-seed2028,resnet1d,2028,0.5,0.51112140871177014,age_band,<40,284,225,0.79225352112676062
resnet1d-seed2028,resnet1d,2028,0.5,0.51112140871177014,sex,female,1048,499,0.47614503816793891
resnet1d-seed2028,resnet1d,2028,0.5,0.51112140871177014,sex,male,1110,604,0.54414414414414414
ecg_transformer-seed2026,ecg_transformer,2026,1,1,age_band,40-59,639,639,1
ecg_transformer-seed2026,ecg_transformer,2026,1,1,age_band,60-79,914,914,1
ecg_transformer-seed2026,ecg_transformer,2026,1,1,age_band,80+,321,321,1
ecg_transformer-seed2026,ecg_transformer,2026,1,1,age_band,<40,284,284,1
ecg_transformer-seed2026,ecg_transformer,2026,1,1,sex,female,1048,1048,1
ecg_transformer-seed2026,ecg_transformer,2026,1,1,sex,male,1110,1110,1
ecg_transformer-seed2026,ecg_transformer,2026,0.90000000000000002,0.8962001853568119,age_band,40-59,639,597,0.93427230046948362
ecg_transformer-seed2026,ecg_transformer,2026,0.90000000000000002,0.8962001853568119,age_band,60-79,914,799,0.87417943107221008
ecg_transformer-seed2026,ecg_transformer,2026,0.90000000000000002,0.8962001853568119,age_band,80+,321,261,0.81308411214953269
ecg_transformer-seed2026,ecg_transformer,2026,0.90000000000000002,0.8962001853568119,age_band,<40,284,277,0.97535211267605637
ecg_transformer-seed2026,ecg_transformer,2026,0.90000000000000002,0.8962001853568119,sex,female,1048,930,0.88740458015267176
ecg_transformer-seed2026,ecg_transformer,2026,0.90000000000000002,0.8962001853568119,sex,male,1110,1004,0.90450450450450448
ecg_transformer-seed2026,ecg_transformer,2026,0.80000000000000004,0.78776645041705284,age_band,40-59,639,555,0.86854460093896713
ecg_transformer-seed2026,ecg_transformer,2026,0.80000000000000004,0.78776645041705284,age_band,60-79,914,677,0.74070021881838077
ecg_transformer-seed2026,ecg_transformer,2026,0.80000000000000004,0.78776645041705284,age_band,80+,321,205,0.63862928348909653
ecg_transformer-seed2026,ecg_transformer,2026,0.80000000000000004,0.78776645041705284,age_band,<40,284,263,0.926056338028169
ecg_transformer-seed2026,ecg_transformer,2026,0.80000000000000004,0.78776645041705284,sex,female,1048,811,0.77385496183206104
ecg_transformer-seed2026,ecg_transformer,2026,0.80000000000000004,0.78776645041705284,sex,male,1110,889,0.80090090090090094
ecg_transformer-seed2026,ecg_transformer,2026,0.69999999999999996,0.68350324374420757,age_band,40-59,639,501,0.784037558685446
ecg_transformer-seed2026,ecg_transformer,2026,0.69999999999999996,0.68350324374420757,age_band,60-79,914,571,0.62472647702407003
ecg_transformer-seed2026,ecg_transformer,2026,0.69999999999999996,0.68350324374420757,age_band,80+,321,163,0.50778816199376942
ecg_transformer-seed2026,ecg_transformer,2026,0.69999999999999996,0.68350324374420757,age_band,<40,284,240,0.84507042253521125
ecg_transformer-seed2026,ecg_transformer,2026,0.69999999999999996,0.68350324374420757,sex,female,1048,695,0.66316793893129766
ecg_transformer-seed2026,ecg_transformer,2026,0.69999999999999996,0.68350324374420757,sex,male,1110,780,0.70270270270270274
ecg_transformer-seed2026,ecg_transformer,2026,0.5,0.48517145505097314,age_band,40-59,639,385,0.60250391236306733
ecg_transformer-seed2026,ecg_transformer,2026,0.5,0.48517145505097314,age_band,60-79,914,366,0.40043763676148797
ecg_transformer-seed2026,ecg_transformer,2026,0.5,0.48517145505097314,age_band,80+,321,87,0.27102803738317754
ecg_transformer-seed2026,ecg_transformer,2026,0.5,0.48517145505097314,age_band,<40,284,209,0.7359154929577465
ecg_transformer-seed2026,ecg_transformer,2026,0.5,0.48517145505097314,sex,female,1048,487,0.46469465648854963
ecg_transformer-seed2026,ecg_transformer,2026,0.5,0.48517145505097314,sex,male,1110,560,0.50450450450450446
ecg_transformer-seed2027,ecg_transformer,2027,1,1,age_band,40-59,639,639,1
ecg_transformer-seed2027,ecg_transformer,2027,1,1,age_band,60-79,914,914,1
ecg_transformer-seed2027,ecg_transformer,2027,1,1,age_band,80+,321,321,1
ecg_transformer-seed2027,ecg_transformer,2027,1,1,age_band,<40,284,284,1
ecg_transformer-seed2027,ecg_transformer,2027,1,1,sex,female,1048,1048,1
ecg_transformer-seed2027,ecg_transformer,2027,1,1,sex,male,1110,1110,1
ecg_transformer-seed2027,ecg_transformer,2027,0.90000000000000002,0.90963855421686746,age_band,40-59,639,599,0.93740219092331767
ecg_transformer-seed2027,ecg_transformer,2027,0.90000000000000002,0.90963855421686746,age_band,60-79,914,820,0.89715536105032823
ecg_transformer-seed2027,ecg_transformer,2027,0.90000000000000002,0.90963855421686746,age_band,80+,321,264,0.82242990654205606
ecg_transformer-seed2027,ecg_transformer,2027,0.90000000000000002,0.90963855421686746,age_band,<40,284,280,0.9859154929577465
ecg_transformer-seed2027,ecg_transformer,2027,0.90000000000000002,0.90963855421686746,sex,female,1048,942,0.89885496183206104
ecg_transformer-seed2027,ecg_transformer,2027,0.90000000000000002,0.90963855421686746,sex,male,1110,1021,0.91981981981981986
ecg_transformer-seed2027,ecg_transformer,2027,0.80000000000000004,0.80583873957367935,age_band,40-59,639,560,0.87636932707355242
ecg_transformer-seed2027,ecg_transformer,2027,0.80000000000000004,0.80583873957367935,age_band,60-79,914,701,0.76695842450765861
ecg_transformer-seed2027,ecg_transformer,2027,0.80000000000000004,0.80583873957367935,age_band,80+,321,208,0.6479750778816199
ecg_transformer-seed2027,ecg_transformer,2027,0.80000000000000004,0.80583873957367935,age_band,<40,284,270,0.95070422535211263
ecg_transformer-seed2027,ecg_transformer,2027,0.80000000000000004,0.80583873957367935,sex,female,1048,830,0.7919847328244275
ecg_transformer-seed2027,ecg_transformer,2027,0.80000000000000004,0.80583873957367935,sex,male,1110,909,0.81891891891891888
ecg_transformer-seed2027,ecg_transformer,2027,0.69999999999999996,0.69323447636700652,age_band,40-59,639,513,0.80281690140845074
ecg_transformer-seed2027,ecg_transformer,2027,0.69999999999999996,0.69323447636700652,age_band,60-79,914,589,0.64442013129102849
ecg_transformer-seed2027,ecg_transformer,2027,0.69999999999999996,0.69323447636700652,age_band,80+,321,139,0.43302180685358255
ecg_transformer-seed2027,ecg_transformer,2027,0.69999999999999996,0.69323447636700652,age_band,<40,284,255,0.897887323943662
ecg_transformer-seed2027,ecg_transformer,2027,0.69999999999999996,0.69323447636700652,sex,female,1048,702,0.66984732824427484
ecg_transformer-seed2027,ecg_transformer,2027,0.69999999999999996,0.69323447636700652,sex,male,1110,794,0.71531531531531534
ecg_transformer-seed2027,ecg_transformer,2027,0.5,0.50880444856348472,age_band,40-59,639,407,0.63693270735524254
ecg_transformer-seed2027,ecg_transformer,2027,0.5,0.50880444856348472,age_band,60-79,914,393,0.4299781181619256
ecg_transformer-seed2027,ecg_transformer,2027,0.5,0.50880444856348472,age_band,80+,321,78,0.24299065420560748
ecg_transformer-seed2027,ecg_transformer,2027,0.5,0.50880444856348472,age_band,<40,284,220,0.77464788732394363
ecg_transformer-seed2027,ecg_transformer,2027,0.5,0.50880444856348472,sex,female,1048,518,0.49427480916030536
ecg_transformer-seed2027,ecg_transformer,2027,0.5,0.50880444856348472,sex,male,1110,580,0.52252252252252251
ecg_transformer-seed2028,ecg_transformer,2028,1,1,age_band,40-59,639,639,1
ecg_transformer-seed2028,ecg_transformer,2028,1,1,age_band,60-79,914,914,1
ecg_transformer-seed2028,ecg_transformer,2028,1,1,age_band,80+,321,321,1
ecg_transformer-seed2028,ecg_transformer,2028,1,1,age_band,<40,284,284,1
ecg_transformer-seed2028,ecg_transformer,2028,1,1,sex,female,1048,1048,1
ecg_transformer-seed2028,ecg_transformer,2028,1,1,sex,male,1110,1110,1
ecg_transformer-seed2028,ecg_transformer,2028,0.90000000000000002,0.89712696941612602,age_band,40-59,639,604,0.94522691705790296
ecg_transformer-seed2028,ecg_transformer,2028,0.90000000000000002,0.89712696941612602,age_band,60-79,914,806,0.88183807439824946
ecg_transformer-seed2028,ecg_transformer,2028,0.90000000000000002,0.89712696941612602,age_band,80+,321,252,0.78504672897196259
ecg_transformer-seed2028,ecg_transformer,2028,0.90000000000000002,0.89712696941612602,age_band,<40,284,274,0.96478873239436624
ecg_transformer-seed2028,ecg_transformer,2028,0.90000000000000002,0.89712696941612602,sex,female,1048,937,0.89408396946564883
ecg_transformer-seed2028,ecg_transformer,2028,0.90000000000000002,0.89712696941612602,sex,male,1110,999,0.90000000000000002
ecg_transformer-seed2028,ecg_transformer,2028,0.80000000000000004,0.79471733086190921,age_band,40-59,639,557,0.87167449139280129
ecg_transformer-seed2028,ecg_transformer,2028,0.80000000000000004,0.79471733086190921,age_band,60-79,914,701,0.76695842450765861
ecg_transformer-seed2028,ecg_transformer,2028,0.80000000000000004,0.79471733086190921,age_band,80+,321,192,0.59813084112149528
ecg_transformer-seed2028,ecg_transformer,2028,0.80000000000000004,0.79471733086190921,age_band,<40,284,265,0.93309859154929575
ecg_transformer-seed2028,ecg_transformer,2028,0.80000000000000004,0.79471733086190921,sex,female,1048,814,0.77671755725190839
ecg_transformer-seed2028,ecg_transformer,2028,0.80000000000000004,0.79471733086190921,sex,male,1110,901,0.81171171171171175
ecg_transformer-seed2028,ecg_transformer,2028,0.69999999999999996,0.70667284522706209,age_band,40-59,639,507,0.79342723004694837
ecg_transformer-seed2028,ecg_transformer,2028,0.69999999999999996,0.70667284522706209,age_band,60-79,914,607,0.66411378555798684
ecg_transformer-seed2028,ecg_transformer,2028,0.69999999999999996,0.70667284522706209,age_band,80+,321,155,0.48286604361370716
ecg_transformer-seed2028,ecg_transformer,2028,0.69999999999999996,0.70667284522706209,age_band,<40,284,256,0.90140845070422537
ecg_transformer-seed2028,ecg_transformer,2028,0.69999999999999996,0.70667284522706209,sex,female,1048,719,0.68606870229007633
ecg_transformer-seed2028,ecg_transformer,2028,0.69999999999999996,0.70667284522706209,sex,male,1110,806,0.72612612612612615
ecg_transformer-seed2028,ecg_transformer,2028,0.5,0.5115848007414272,age_band,40-59,639,398,0.62284820031298904
ecg_transformer-seed2028,ecg_transformer,2028,0.5,0.5115848007414272,age_band,60-79,914,400,0.43763676148796499
ecg_transformer-seed2028,ecg_transformer,2028,0.5,0.5115848007414272,age_band,80+,321,81,0.25233644859813081
ecg_transformer-seed2028,ecg_transformer,2028,0.5,0.5115848007414272,age_band,<40,284,225,0.79225352112676062
ecg_transformer-seed2028,ecg_transformer,2028,0.5,0.5115848007414272,sex,female,1048,514,0.49045801526717558
ecg_transformer-seed2028,ecg_transformer,2028,0.5,0.5115848007414272,sex,male,1110,590,0.53153153153153154
