member_id,architecture,state,label,bin_index,count,probability_minimum,probability_maximum,mean_probability,event_rate
resnet1d-seed2026,resnet1d,raw,NORM,0,144,5.6027964061459398e-09,0.00021654404989510323,7.5979193041497879e-05,0
resnet1d-seed2026,resnet1d,raw,NORM,1,144,0.00021654404989510323,0.0010649626720559452,0.00054848009652065817,0
resnet1d-seed2026,resnet1d,raw,NORM,2,144,0.0010649626720559452,0.0035936025814200896,0.0021714483153576591,0
resnet1d-seed2026,resnet1d,raw,NORM,3,144,0.0035936025814200896,0.012053779516236447,0.006697494614779656,0.0069444444444444441
resnet1d-seed2026,resnet1d,raw,NORM,4,144,0.012053779516236447,0.044018649862946381,0.025143218926832616,0.041666666666666664
resnet1d-seed2026,resnet1d,raw,NORM,5,144,0.044018649862946381,0.15102780199255098,0.090707284732312238,0.13194444444444445
resnet1d-seed2026,resnet1d,raw,NORM,6,144,0.15203224162217424,0.35131106427318937,0.24407393817354844,0.2361111111111111
resnet1d-seed2026,resnet1d,raw,NORM,7,144,0.35309352890368739,0.61601226214349936,0.5012963819241536,0.40277777777777779
resnet1d-seed2026,resnet1d,raw,NORM,8,144,0.61601226214349936,0.78793119564289471,0.70777732100545721,0.60416666666666663
resnet1d-seed2026,resnet1d,raw,NORM,9,144,0.78793119564289471,0.88079707797788231,0.8426105788921624,0.73611111111111116
resnet1d-seed2026,resnet1d,raw,NORM,10,144,0.88079707797788231,0.93991334982599239,0.91341556684071934,0.81944444444444442
resnet1d-seed2026,resnet1d,raw,NORM,11,144,0.94078974925871406,0.97023990605403565,0.95699752467340593,0.86111111111111116
resnet1d-seed2026,resnet1d,raw,NORM,12,144,0.97068776924864364,0.98636316471857011,0.979056265504608,0.90972222222222221
resnet1d-seed2026,resnet1d,raw,NORM,13,143,0.98677717824769484,0.99461506203822214,0.99114111904023794,0.95104895104895104
resnet1d-seed2026,resnet1d,raw,NORM,14,143,0.99461506203822214,0.99976949327800679,0.99714452386941566,1
resnet1d-seed2026,resnet1d,raw,MI,0,144,1.2219076020491005e-05,0.00068785115505524605,0.00034392797169944742,0
resnet1d-seed2026,resnet1d,raw,MI,1,144,0.00070967039910058822,0.0018102110262026487,0.0011899092725937953,0.0069444444444444441
resnet1d-seed2026,resnet1d,raw,MI,2,144,0.0018102110262026487,0.0035936025814200896,0.0025663761274800911,0.013888888888888888
resnet1d-seed2026,resnet1d,raw,MI,3,144,0.0035936025814200896,0.0069038380712218772,0.005053333235233869,0.0069444444444444441
resnet1d-seed2026,resnet1d,raw,MI,4,144,0.0069038380712218772,0.012431650853185818,0.0094869857244537937,0.034722222222222224
resnet1d-seed2026,resnet1d,raw,MI,5,144,0.012431650853185818,0.02194825371486785,0.016944778552100043,0.055555555555555552
resnet1d-seed2026,resnet1d,raw,MI,6,144,0.02194825371486785,0.038466192018324283,0.029664166739072843,0.041666666666666664
resnet1d-seed2026,resnet1d,raw,MI,7,144,0.038466192018324283,0.067546691139629106,0.052000286131007906,0.1111111111111111
resnet1d-seed2026,resnet1d,raw,MI,8,144,0.067546691139629106,0.12085323249047067,0.094276773715909201,0.097222222222222224
resnet1d-seed2026,resnet1d,raw,MI,9,144,0.12252321251815919,0.20434189993684582,0.15813974284582771,0.2361111111111111
resnet1d-seed2026,resnet1d,raw,MI,10,144,0.20817892905742005,0.36026394128130435,0.28102579588173832,0.30555555555555558
resnet1d-seed2026,resnet1d,raw,MI,11,144,0.36116472023432078,0.58367803970698262,0.46756850762862978,0.54166666666666663
resnet1d-seed2026,resnet1d,raw,MI,12,144,0.58367803970698262,0.82446192637657068,0.70319425328955687,0.63888888888888884
resnet1d-seed2026,resnet1d,raw,MI,13,143,0.82446192637657068,0.95598135013705365,0.89867265262915352,0.79020979020979021
resnet1d-seed2026,resnet1d,raw,MI,14,143,0.95727780245350946,0.99995167436181276,0.98506451726019617,0.95104895104895104
resnet1d-seed2026,resnet1d,raw,STTC,0,144,5.7719200301633196e-06,0.00039204178923762809,0.00018907180240031781,0
resnet1d-seed2026,resnet1d,raw,STTC,1,144,0.00039204178923762809,0.0012065897122463891,0.00074732484680094713,0
resnet1d-seed2026,resnet1d,raw,STTC,2,144,0.0012065897122463891,0.002323162522631283,0.0017324727863639426,0
resnet1d-seed2026,resnet1d,raw,STTC,3,144,0.0023967308701289603,0.0041987952714718675,0.0032305934421927194,0.013888888888888888
resnet1d-seed2026,resnet1d,raw,STTC,4,144,0.0041987952714718675,0.007577241267860811,0.0057661481194054799,0.020833333333333332
resnet1d-seed2026,resnet1d,raw,STTC,5,144,0.007577241267860811,0.013636835281429876,0.010497964136376626,0.041666666666666664
resnet1d-seed2026,resnet1d,raw,STTC,6,144,0.013636835281429876,0.028007520605988129,0.020492397627513769,0.055555555555555552
resnet1d-seed2026,resnet1d,raw,STTC,7,144,0.028007520605988129,0.055005288293454149,0.040259027557792447,0.083333333333333329
